zip3,year,quarter,hpi_index
12,1996,2,106.8
12,1996,3,110.24
12,1996,4,117.37
12,1997,1,112.37
12,1997,2,112.2
12,1997,3,110.34
12,1997,4,115.16
12,1998,1,114.95
12,1998,2,114.17
12,1998,3,115.09
12,1998,4,115.55
12,1999,1,117.97
12,1999,2,115.94
12,1999,3,120.87
12,1999,4,122.57
12,2000,1,126.29
12,2000,2,122.68
12,2000,3,124.07
12,2000,4,130.43
12,2001,1,132.28
12,2001,2,134.36
12,2001,3,134.29
12,2001,4,138.08
12,2002,1,141.28
12,2002,2,144.66
12,2002,3,150.16
12,2002,4,153.17
12,2003,1,155.59
12,2003,2,156.69
12,2003,3,161.91
12,2003,4,169.75
12,2004,1,170.85
12,2004,2,175.72
12,2004,3,183.0
12,2004,4,190.73
12,2005,1,191.51
12,2005,2,199.59
12,2005,3,205.24
12,2005,4,206.47
12,2006,1,214.96
12,2006,2,215.91
12,2006,3,216.53
12,2006,4,219.47
12,2007,1,220.66
12,2007,2,219.83
12,2007,3,218.88
12,2007,4,220.62
12,2008,1,221.07
12,2008,2,218.1
12,2008,3,207.67
12,2008,4,216.79
12,2009,1,217.5
12,2009,2,213.08
12,2009,3,212.17
12,2009,4,207.84
12,2010,1,210.97
12,2010,2,206.18
12,2010,3,208.97
12,2010,4,208.45
12,2011,1,204.24
12,2011,2,204.01
12,2011,3,201.07
12,2011,4,205.74
12,2012,1,206.47
12,2012,2,202.17
12,2012,3,202.15
12,2012,4,200.97
12,2013,1,204.89
12,2013,2,201.65
12,2013,3,197.27
12,2013,4,195.65
12,2014,1,195.19
12,2014,2,196.63
12,2014,3,200.67
12,2014,4,198.28
12,2015,1,198.06
12,2015,2,201.89
12,2015,3,203.68
12,2015,4,205.86
12,2016,1,201.81
12,2016,2,197.58
12,2016,3,207.67
12,2016,4,209.69
12,2017,1,198.79
12,2017,2,203.62
12,2017,3,207.33
12,2017,4,210.3
12,2018,1,215.2
12,2018,2,212.88
12,2018,3,219.38
12,2018,4,218.78
12,2019,1,220.75
12,2019,2,221.34
12,2019,3,223.81
12,2019,4,228.22
12,2020,1,230.69
12,2020,2,229.36
12,2020,3,237.24
12,2020,4,239.62
12,2021,1,252.44
12,2021,2,263.32
12,2021,3,280.35
12,2021,4,287.61
12,2022,1,295.01
12,2022,2,300.45
12,2022,3,325.09
12,2022,4,333.07
12,2023,1,317.27
12,2023,2,322.32
12,2023,3,353.92
12,2023,4,354.53
12,2024,1,368.26
12,2024,2,374.45
12,2024,3,365.72
12,2024,4,371.24
12,2025,1,369.68
12,2025,2,382.92
12,2025,3,388.06
12,2025,4,376.31
13,1995,1,100.0
13,1995,2,100.8
13,1995,3,105.12
13,1995,4,104.28
13,1996,1,103.89
13,1996,2,104.39
13,1996,3,105.17
13,1996,4,106.43
13,1997,1,105.52
13,1997,2,107.99
13,1997,3,108.24
13,1997,4,112.61
13,1998,1,113.76
13,1998,2,115.46
13,1998,3,119.71
13,1998,4,121.24
13,1999,1,122.55
13,1999,2,125.38
13,1999,3,127.97
13,1999,4,135.81
13,2000,1,143.19
13,2000,2,147.43
13,2000,3,153.88
13,2000,4,160.26
13,2001,1,159.66
13,2001,2,163.03
13,2001,3,165.09
13,2001,4,167.48
13,2002,1,172.8
13,2002,2,175.92
13,2002,3,183.21
13,2002,4,185.37
13,2003,1,187.84
13,2003,2,189.21
13,2003,3,196.78
13,2003,4,201.84
13,2004,1,208.72
13,2004,2,216.7
13,2004,3,231.41
13,2004,4,240.18
13,2005,1,246.24
13,2005,2,252.42
13,2005,3,262.3
13,2005,4,264.07
13,2006,1,266.02
13,2006,2,268.39
13,2006,3,271.98
13,2006,4,278.13
13,2007,1,270.5
13,2007,2,273.72
13,2007,3,266.67
13,2007,4,269.7
13,2008,1,263.07
13,2008,2,258.85
13,2008,3,254.55
13,2008,4,256.34
13,2009,1,262.26
13,2009,2,251.73
13,2009,3,249.67
13,2009,4,243.75
13,2010,1,240.48
13,2010,2,238.68
13,2010,3,242.49
13,2010,4,243.81
